contry,sum
安塞县,800774.9125
白水县,1765404.887
宝塔区,400140
长武县,443648.6216
澄城县,1467760.113
丹凤县,393536.1224
凤县,373147.5692
汉滨区,716998.9999
汉台区,464167
汉阴县,1476547
户县,1650371
金台区,1239143
靖边县,1912997.337
临潼区,3116259.274
临渭区,1309655
略阳县,444548.4759
洛南县,603542.6544
眉县,1558277.431
勉县,998604.1685
宁强县,980957.3557
三原县,1248013.332
商州区,453899
王益区,646761
渭城区,1279863
吴堡县,371678.6634
新城区,2609943.727
旬邑县,1176859.047
杨凌区,175169
宜川县,618311.0875
宜君县,78577  
榆阳区,533158  
镇安县,529270.2233
